Title,Company,Location,Reward,Link
AI 플랫폼 개발 및 운영 (Python 개발),디케이테크인,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/198686
Python BackEnd Developer,에이젠글로벌,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/194076
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/193356
Back-end Developer_Python (2년 이상),쏘마,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/198178
python 개발자 (3년 이상),자이온아이티에스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/187131
"백엔드 개발자(Python, Django)",어터,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/173374
[100억↑투자] Software Developer(Python or Javascript),수퍼톤,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/166771
Python application & Algorithm 개발자,메디픽셀,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/190006
AI 플랫폼 개발 및 운영 (Python 개발),디케이테크인,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/198686
Python BackEnd Developer,에이젠글로벌,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/194076
Python 트레이딩 플랫폼 엔지니어 for VegaX,콘스텔레이션코리아,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/193356
Back-end Developer_Python (2년 이상),쏘마,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/198178
python 개발자 (3년 이상),자이온아이티에스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/187131
"백엔드 개발자(Python, Django)",어터,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/173374
[100억↑투자] Software Developer(Python or Javascript),수퍼톤,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/166771
Python application & Algorithm 개발자,메디픽셀,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/190006
[200억↑투자] 서비스 API (Python/Django) 개발,놀이의발견,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/181923
"[개발] SW엔지니어(API, Python)",아이알큐더스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/189617
백엔드 엔지니어 (Python),엘리스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/57878
백엔드(Python) 개발자 (5년 이상),카카오헬스케어,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/199488
"Data Engineer (Python, SQL)",이랜드이노플,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/184348
"코박(Cobak) 백앤드 개발자[3년 이상] (Python, Django)",판도라티비,경기 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/183789
Python 백엔드 개발자 (생성형AI 플랫폼 개발),디쉐어,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/156681
[200억↑투자] 서버 엔지니어 (Python),페이히어,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/89571
웹/앱 백엔드개발자(Python),에임비랩,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/195585
글로벌팀 백엔드 엔지니어 (Python),엘리스,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/182859
Senior Backend Engineer - Python,트릿지,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/96146
[200억↑투자] 백엔드 개발자(Python),바로팜,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/66521
Python 서버개발자,크로스이엔에프,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/153489
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",메디인테크,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/147487
[600억↑투자] [핀테크] 백엔드 엔지니어(python),파운트(fount),서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/171233
Frontend 및 Backend(python) 개발자,마인즈앤컴퍼니,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/156436
"C#, C++, Python, IoT MCU(아두이노,RPi) 개발자",아이티로그,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/187186
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자",메디인테크,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/100407
백엔드 Python Django 개발자 / 핀테크,얼리페이,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/165649
"백엔드 개발자(C#, Java, Python, Hack)",애딥랩,서울 · 한국,합격보상금 100만원,https://www.wanted.co.kr//wd/178948
